shot_distance,shot_angle,under_pressure,shot_first_time,minute,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley
28.24623868765538,14.95239663794549,0,1,32,0,0,1,0,0,0,1,0,0
7.5133215025047395,55.656102410101866,0,0,8,0,0,0,0,0,0,1,0,0
9.442986815621428,45.78387311713296,1,0,6,0,0,0,0,0,0,1,0,0
31.73089976663126,13.528315700039132,0,0,45,0,0,1,0,0,0,1,0,0
13.895682782792646,27.452321862764585,0,0,87,1,0,0,0,1,0,0,0,0
21.51882896442091,15.882408286952025,0,0,23,0,0,1,0,0,0,1,0,0
12.452309022827857,26.05852091104269,0,0,53,0,0,1,0,0,0,1,0,0
25.266776604861967,17.143861156407052,0,0,27,1,0,0,0,0,0,1,0,0
32.66955769519997,12.901044047994365,0,0,69,0,0,1,0,0,0,1,0,0
24.020824298928627,15.767182890581427,1,0,60,1,0,0,0,0,0,1,0,0
28.811108968590567,15.80251419321655,0,0,10,1,0,0,0,0,0,1,0,0
14.855638660118252,27.81734604196805,0,0,82,0,0,1,0,0,0,1,0,0
30.419894805866765,14.831450277747894,1,0,48,1,0,0,0,1,0,0,0,0
22.32129028528593,12.351559680045126,0,0,44,0,0,1,0,1,0,0,0,0
29.201541055225157,15.598779702836916,0,0,60,0,0,1,0,0,0,1,0,0
13.685393673548454,15.654281798184613,0,0,10,0,0,1,0,1,0,0,0,0
34.35825956011159,10.432178266956722,0,0,21,0,0,1,0,0,0,1,0,0
31.76476034853718,12.711958468079192,0,0,80,0,0,1,0,0,0,1,0,0
9.621330469327,31.65090252598777,0,1,35,1,0,0,0,1,0,0,0,0
19.079046097748183,15.910163885455669,0,1,29,1,0,0,0,1,0,0,0,0
11.180339887498947,36.2766199356936,1,1,70,1,0,0,0,0,0,1,0,0
27.79154547699714,11.595605314262542,0,0,40,0,0,1,0,0,0,1,0,0
19.360010330575754,19.633084714272563,0,0,16,1,0,0,0,1,0,0,0,0
16.91892431568863,25.34389791250093,0,0,7,0,0,1,0,0,0,1,0,0
9.23471710449216,46.73182013610641,0,1,36,0,0,1,0,0,0,0,0,1
21.489532335534896,16.777034470271246,0,1,91,0,0,1,0,0,0,1,0,0
15.376930773076923,28.4006298199465,0,0,16,1,0,0,0,0,0,1,0,0
22.09524835796149,9.804347986243684,0,0,63,1,0,0,0,0,0,1,0,0
20.397303743387265,7.518642325000016,0,0,43,1,0,0,0,0,0,1,0,0
20.011246837716037,22.392502271490805,0,0,13,1,0,0,0,0,0,1,0,0
15.30555454728772,28.96313979503652,0,0,47,1,0,0,0,1,0,0,0,0
12.89961239727768,30.78414707568908,1,1,82,1,0,0,0,0,0,0,0,1
23.41836885865453,18.98778992613064,0,1,47,0,0,1,0,1,0,0,0,0
24.239636960977776,18.56837097062196,0,0,81,0,0,1,0,0,0,1,0,0
18.23321145602167,16.610335637217002,0,1,39,1,0,0,0,1,0,0,0,0
29.21044333795706,13.590167183258576,0,0,70,0,0,1,0,0,0,1,0,0
9.502105029939418,45.65188392141124,1,0,17,0,0,0,0,0,0,1,0,0
12.041594578792296,36.65610889476458,0,0,39,1,0,0,0,1,0,0,0,0
10.761505470890212,35.80557309936276,0,1,85,0,0,1,0,0,0,0,0,1
11.71537451385998,30.702452645271972,1,0,73,0,0,0,0,0,0,1,0,0
17.89217706149814,21.14032785475931,0,1,45,0,0,1,0,0,0,1,0,0
7.962411694957755,50.54846692578727,0,0,48,0,0,0,0,0,0,1,0,0
19.736767719158067,11.500358367294842,1,1,57,0,0,1,0,0,0,1,0,0
32.011560411826224,14.026353492097792,0,0,74,0,0,1,0,0,0,1,0,0
31.51920049747455,13.57383435885821,0,0,77,0,0,1,0,0,0,1,0,0
24.03081355260367,17.552522850970107,0,0,58,0,0,1,0,0,0,1,0,0
30.87555667514353,14.316370768070746,0,1,3,1,0,0,0,0,0,0,0,1
16.68202625582396,24.58451510719601,0,0,27,0,0,1,0,1,0,0,0,0
24.900200802403187,18.25205993447396,0,1,32,0,0,1,0,0,0,1,0,0
6.661080993352359,56.70657576326144,0,0,23,0,0,0,0,0,0,1,0,0
27.29468812791236,16.504361636084095,0,0,76,1,0,0,0,0,0,1,0,0
11.107204868912795,37.771767332653305,1,0,80,0,0,0,0,0,0,1,0,0
18.906083676954356,23.77288454450696,1,0,68,1,0,0,0,0,0,1,0,0
18.88544413033487,15.862726972767176,0,1,72,0,0,1,0,0,0,1,0,0
16.32482771731451,21.761963704906027,0,1,35,0,0,1,0,0,0,0,0,1
10.0,29.7448823333311,0,0,45,0,0,1,0,0,0,1,0,0
26.307793522072508,12.6059523192552,0,0,7,0,0,1,0,0,0,1,0,0
26.341791890454225,16.437805065568188,0,0,90,0,0,1,0,0,0,1,0,0
4.825971404805463,77.16633005893314,0,0,90,0,0,0,0,0,0,1,0,0
8.570880934886448,49.80219063388264,1,0,21,0,0,0,0,0,0,1,0,0
15.965587994182991,27.732834974439864,0,0,8,0,0,0,0,0,1,0,0,0
29.492032822442063,11.80231935642151,0,0,61,1,0,0,0,0,0,1,0,0
31.218744369368867,13.785501300099238,0,0,70,0,0,1,0,0,0,1,0,0
26.92582403567252,14.54847715727953,0,0,51,0,0,1,0,0,0,1,0,0
17.497714136423646,17.734927850251186,0,0,89,1,0,0,0,0,0,1,0,0
31.479834815322647,12.177646259248268,0,0,45,0,0,1,0,0,0,1,0,0
38.51700922968968,11.82284546226546,0,0,71,1,0,0,0,0,0,1,0,0
18.32157198495805,20.32313728345558,0,0,74,0,0,0,0,0,0,1,0,0
9.219544457292889,34.824490136840176,1,0,77,0,0,0,0,0,0,1,0,0
11.82708755357801,37.30840770638173,0,1,36,0,0,1,0,0,0,0,0,0
31.240998703626616,11.309932766640651,0,0,29,0,0,1,0,0,0,1,0,0
28.40598528479517,14.245711984960463,0,0,93,1,0,0,0,0,0,1,0,0
15.508062419270823,19.06806843206607,0,0,8,0,0,1,0,0,0,1,0,0
22.769277546729494,18.48830097778194,0,1,73,1,0,0,0,1,0,0,0,0
