id,match_id,competition,season_id,minute,player,team,shot_outcome,shot_type,shot_body_part,shot_technique,shot_statsbomb_xg,under_pressure,shot_first_time,x,y,gol,shot_distance,shot_angle
deac7103-abe9-4eee-8a88-82e1c7891163,266201,La Liga,25,78,Garry Mendes Rodrigues,Elche,Off T,Open Play,Left Foot,Normal,0.121551834,1,1,107.7,31.3,0,15.065855435387661,25.004107092719554
241c2402-5edc-42a0-aacc-b2b1dac2ef29,266201,La Liga,25,83,Adriano Correia Claro,Barcelona,Off T,Open Play,Right Foot,Normal,0.020234114,1,0,94.5,25.1,0,29.53404814785809,13.400639433133776
ead0b4c0-5259-47d5-8a1c-47f89fed730b,266201,La Liga,25,85,Ferrán Corominas Telechea,Elche,Wayward,Open Play,Head,Normal,0.13997984,1,0,111.8,45.7,0,9.98649087517733,38.07765909880371
cda82945-a367-4992-8e1c-50ab52906fea,266201,La Liga,25,85,Cristian Tello Herrera,Barcelona,Blocked,Open Play,Right Foot,Normal,0.03882199,0,0,102.3,27.4,0,21.72671167019989,17.24916515952314
3ab78a2d-916b-4f3e-9d45-5952bf7ab954,266201,La Liga,25,87,Cristian Tello Herrera,Barcelona,Blocked,Open Play,Left Foot,Normal,0.019655982,0,0,98.4,53.3,0,25.366316248127156,15.397579277785196
e3cddbcb-68f0-4047-9589-52f988ab1e45,266201,La Liga,25,91,Lionel Andrés Messi Cuccittini,Barcelona,Saved,Free Kick,Left Foot,Normal,0.04456121,0,0,98.5,24.0,0,26.800186566514792,13.76235629093264
52b82091-2d7e-4388-b8ac-b3eec884dd21,266274,La Liga,25,4,Lionel Andrés Messi Cuccittini,Barcelona,Blocked,Open Play,Left Foot,Normal,0.09463094,0,0,103.6,47.8,0,18.160396471443022,22.68983935482588
e2edce9e-0c25-49b6-af38-818c45eef2df,266274,La Liga,25,5,Neymar da Silva Santos Junior,Barcelona,Goal,Open Play,Right Foot,Half Volley,0.9064407,0,1,116.2,40.2,1,3.805259518088087,92.86240513199289
b3fe1192-c6ac-44ce-878c-8b441edce3c1,266274,La Liga,25,12,Adriano Correia Claro,Barcelona,Saved,Open Play,Left Foot,Normal,0.008675055,1,0,93.6,59.1,0,32.58481241314733,11.417677178593951
93b09fc0-0f00-4028-8962-7f1fa3be7ac4,266274,La Liga,25,14,Neymar da Silva Santos Junior,Barcelona,Off T,Open Play,Left Foot,Normal,0.30908486,0,1,116.4,33.8,0,7.169379331573968,39.13040110021453
